model_name,model_role,category,metric,expected,measured,pass,mandatory_for_structure,mandatory_for_construction_qualification,mandatory_for_promotion,note
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,provenance,s13_metadata_coherence,"S13-FULL construction role, supported phase, cumulative and per-phase reports agree",schema_version=2; compatibility_role=unpromoted_s13_candidate; governing_role=s13_full_construction_validation_parent; downstream=npcc_ny_lite_s14_nyiso_dlr_operating_model; dlr_delivery_eligible=false; construction_source_qualified=false; promotion_eligible=false; phase=phase1a; current_phase_report=true; phase1a_alias=true; phase_reports=true; cumulative=true; overlay_metadata=true,1,1,1,0,"overlay_report is the cumulative source of truth; phase_reports stores per-phase evidence; phase1a_report is a compatibility alias."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,source_baseline,original_npcc_dimensions,"140 buses / 233 branches",140 buses / 233 branches,1,1,1,0,"Frozen source identity expected by the S13-FULL policy."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,structural_parent,s7_dimensions,"143 buses / 246 branches / 62 generators",143 buses / 246 branches / 62 generators,1,1,1,0,"S7 remains the NPCC structural provenance case."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,structural_preservation,original_bus_row_identity,"all 140 original rows unchanged in position and ID",140 of 140 row IDs match,1,1,1,0,"Row identity is stronger than unordered bus membership."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,structural_preservation,parent_bus_names_stable,"all 143 S7/Phase-0 normalized bus names unchanged",true,1,1,1,0,"Name identity is part of the attachment and provenance policy."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,structural_preservation,original_branch_row_identity,"all 233 original rows retain ordered endpoints",233 of 233 row endpoint identities match,1,1,1,0,"Parallel circuits are traced by stable row identity, not endpoint set alone."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,append_only,s7_bus_rows_preserved,"first 143 S7 bus IDs unchanged",true,1,1,1,0,"All new physical terminals must be appended."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,append_only,s7_branch_rows_preserved,"first 246 S7 branch endpoints unchanged",true,1,1,1,0,"Residualization may change registered R/X/B but never endpoints or row identity."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,structural_preservation,parent_bus_structural_controls,"S7/Phase-0 bus type area zone base-kV and limits unchanged",true,1,1,1,0,"Operating PD/QD/VM/VA are excluded from this identity comparison."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,structural_preservation,parent_branch_status_and_controls,"S7/Phase-0 status tap shift and angle bounds unchanged",true,1,1,1,0,"Residualization may alter only registered R/X/B rows."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,structural_preservation,original_online_branches_active,"all originally online rows remain active",true,1,1,1,0,"Outages belong in validation scenarios, not the base candidate."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,device_identity,generator_capability_and_identity,"all 62 S7 generator identities limits capabilities costs and type/fuel retained",true,1,1,1,0,"PG/QG may change by operating point; fixed device fields remain traceable."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,structural_preservation,s7_transit_buses_present,"9001|9002|9003",9001|9002|9003,1,1,1,0,"All three S7 transit buses must remain."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,provenance,overlay_metadata_present,"row-aligned S13 overlay metadata",true,1,1,1,0,"Free-text provenance alone is insufficient."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,provenance,added_bus_registration,"4 appended buses with one map row each",4 appended / 4 registered,1,1,1,0,"Every appended bus must be uniquely registered."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,provenance,added_branch_registration,"7 appended branches with one map row each",7 appended / 7 registered,1,1,1,0,"Every appended branch must be uniquely registered."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,provenance,overlay_model_and_source_identity,"S13-FULL over S7 sourced only from full PERFORM 2019",true,1,1,1,0,"Candidate-supplied promoted/S12/Ward labels fail this gate."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,base_identity,common_base_mva,"NPCC parent candidate and PERFORM source all use 100 MVA",original=100 s7=100 candidate=100 source=100,1,1,1,0,"Copied per-unit impedances are meaningful only on the common base."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,source_exactness,added_physical_r_x_b_and_ratings,"all registered rows match direct PERFORM R/X/B and RATE_A/B/C",true,1,1,1,0,"Physical rows may not be empirically retuned."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,source_exactness,added_bus_source_and_npcc_area_mapping,"source IDs/names/base-kV retained and NPCC areas inherited from attachments",true,1,1,1,0,"PERFORM areas 69/71 remain provenance metadata, not NPCC control areas."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,source_exactness,attachment_name_match,"EDIC and RAMAPO attachment names match PERFORM after normalization",true,1,1,1,0,"Voltage and zone agreement do not replace exact-name attachment evidence."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,source_exactness,source_added_terminals_zero_injection,"all appended terminals have zero source PD/QD/GS/BS",true,1,1,1,0,"Candidate zero injection must be supported by the PERFORM source rows."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,phase1a_minimum,source_backed_e_g_overlay_present,"four Phase-1A terminals and seven direct source rows remain present",true,1,1,1,0,"Later Phase 1B/1C paths may append additional registered rows."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,dlr_scope,only_physical_rows_can_be_dlr_eligible,"true",true,1,1,1,0,"Eligibility requires one-to-one registration and completed conductor/weather mapping."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,model_hierarchy,no_s12_kron_admittance,"no S12 markers sources or Ward/Kron construction",true,1,1,1,0,"S12 may supply reference evidence but never S13-FULL or S14 network admittance rows."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,admittance_policy,residual_candidate_class_policy,"direct overlaps separated from frozen adjacent calibration candidates",true,1,1,1,0,"Rows 40/42 need paired response evidence and strong regularization before adjustment."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,admittance_policy,changed_parent_r_x_b_registered,"every changed S7 R/X/B row appears in the residual register",0 changed / 0 registered,1,1,1,0,"Phase 0 ratings-only changes do not alter R/X/B."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,admittance_policy,changed_parent_shunts_registered,"every changed S7 GS/BS row appears in the residual-shunt register",0 changed / 0 registered,1,1,1,0,"Phase 1A freezes shunts; later passive residual shunts require evidence."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,network_form,full_npcc_not_boundary_equivalent,"all original NPCC buses and branch rows",true,1,1,1,0,"An NY-only equivalent cannot pass this gate."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,construction_readiness,dedicated_construction_validator_available,"implemented and artifact-backed",not_implemented_fail_closed,0,0,1,0,"A separate S13-FULL construction validator must be implemented first."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,construction_readiness,phase1b_physical_overlay_complete,"complete and artifact-backed",pending_phase1b,0,0,1,0,"UPNY-ConEd physical detail must be present before S14 retention freezes."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,construction_readiness,phase1c_physical_overlay_complete,"complete and artifact-backed",pending_phase1c,0,0,1,0,"Downstate H-J/K-J physical detail must be present before S14 retention freezes."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,construction_readiness,passive_residualization_complete,"complete and passive",pending_phase1d_passive_multi_terminal_fit,0,0,1,0,"Pending dedicated artifact-backed validation."
npcc_ny_lite_s13_npcc_augmented_2019,unpromoted_s13_candidate,construction_readiness,s14_reduction_source_state_complete,"frozen solved source state with bounded controls",pending_common_solved_source_state,0,0,1,0,"The external multi-port must be derived from a reproducible solved S13-FULL state."
