project_id,included,commissioning_evidence_date,status_basis,source_url,cutoff,as_built_parameters_verified
CEEC,1,2023-12-13,completed_by_cutoff,https://www.nypa.gov/news/press-releases/2023/20231213-transmission-line,2025-12-31,0
NYES,1,2023-08-16,completed_by_cutoff,https://nytransco.com/wp-content/uploads/2023/08/NYES-News-Release.8.16.23_updated.pdf,2025-12-31,0
SMART_PATH,1,2023-05,completed_by_cutoff,https://www.nypa.gov/-/media/nypa/documents/document-library/financials/approved-2025-budget-and-2025---2028-financial-plan.pdf,2025-12-31,0
RCC_QUEENS,1,2023-05,completed_by_cutoff,https://www.coned.com/en/our-energy-future/our-energy-vision/where-we-are-going/reliable-clean-city-project,2025-12-31,0
RCC_BROOKLYN,1,2025-05_announced,assumed_completed_from_owner_near_term_energization_announcement,https://www.coned.com/en/about-us/media-center/news/2025/05-16/con-edison-investing-in-major-reliability-projects--serving-customers-in-brooklyn-and-staten-island,2025-12-31,0
RCC_STATEN,1,2025-05_announced,assumed_completed_from_owner_near_term_energization_announcement,https://www.coned.com/en/about-us/media-center/news/2025/05-16/con-edison-investing-in-major-reliability-projects--serving-customers-in-brooklyn-and-staten-island,2025-12-31,0
CHPE,0,2026,excluded_after_2025_cutoff,https://chpexpress.com/news/the-champlain-hudson-power-express-marks-completion-of-a-landmark-1250-mw-energy-infrastructure-project-connecting-quebec-to-new-york-city/,2025-12-31,0
SMART_PATH_CONNECT,0,2026,excluded_after_2025_cutoff,https://www.nypa.gov/News/Press-Releases/2026/20260622-smarthpath,2025-12-31,0
RCC_LONG_ISLAND_CITY,0,2026,excluded_after_2025_cutoff,https://www.coned.com/en/about-us/media-center/news/2025/04-18/con-edison-begins-construction-of-transmission-line-in-western-queens,2025-12-31,0
PROPEL_NY,0,2030_planned,excluded_after_2025_cutoff,https://www.propelnyenergy.com/queens-route,2025-12-31,0
