gate,passed,evidence_scope
implementation_regressions,1,Executable tests only
phase1c_source_identity,1,53 exact PERFORM elements; historical construction
contemporary_register_accounting,1,Dated register validation; no asset instantiation claim
bounded_prior_only_operating_point,0,Assumed/reconstructed inputs; regional public targets excluded
passive_external_reduction_identity,1,phase1c_inherited_unqualified_snapshot
reduced_operating_limits,0,Independent PF replay with finite generator limits
six_historical_public_reconstructions,0,Regional accounting and bounded AC reconstruction; in-sample
internal_overlap_resolution,0,Source-backed passive port targets still required
contemporary_asset_and_generator_mapping,0,Current engineering parameters and unit crosswalk absent
independent_public_heldout_validation,0,Frozen transfer diagnostics are not held-out public observations
promoted_operating_model,0,No promotion while required scientific gates remain open
