asset_key,project,component,documented_event_date,date_precision,event_type,nominal_voltage_kv,voltage_evidence,cutoff_status,selected_frozen_model_inclusion,source_ids,scope_note
CEEC_CORE,CEEC,Marcy-New Scotland core and Princetown/Gordon Road stations,2023-12-13,day,owner_completion_announcement,345,owner_project_description,completed_before_cutoff,selected_assumed_equivalent_included,CEEC_COMPLETION,Completion supports inclusion; no as-built R/X/B or full equipment crosswalk verified.
NYES_CORE,NYES,New York Energy Solution main corridor,2023-08-16,day,owner_energization_announcement,345,owner_project_description,energized_before_cutoff,Churchtown_corridor_equivalent_included,NYES_COMPLETION,Selected corridor approximation; not proof that all AC Transmission Segment B devices were completed in2023.
NYES_DOVER,NYES_related_Segment_B,Cricket Valley-Dover Y17; Dover-Long Mountain398; Dover PARs T398-A/B,2025-12-19 HB23,hour_beginning_EPT,operator_placed_in_service_report,345,NYISO_operator_report,in_service_before_cutoff,omitted_from_selected_frozen_overlay,NYISO_DEC_OPERATIONS,Directly related Segment B component; omitted scope is distinct from core NYES2023 completion. No internal flow observations used.
SMART_PATH_CORE,SMART_PATH,Moses-Adirondack rebuilt core,2023-05,month,owner_reports_final_segment_in_service,230,owner2023_release_initial_operation_345_design,initial230_service_before_cutoff_then_partial_SPC_conversion,two_Moses_legs_and_two_Porter_templates_at230,SMART_PATH_GREEN_BOND;SMART_PATH_COMPLETION,Only two Moses-Adirondack circuits form Smart Path core; modeled Porter legs are separate historical supporting equivalents.
SPC_WHOLE,SMART_PATH_CONNECT,Whole project,2026-06,month,owner_full_completion_and_energization_announcement,230;345,owner_project_description,partly_in_service_2025_full_completion_2026,entire_project_explicitly_omitted,SPC_FULL_COMPLETION;SPC_HA2;SPC_LINE11;SPC_LINE13,Blanket excluded_after_2025_cutoff confuses selected omission with all-component commissioning; month used due page/URL date inconsistency.
SPC_WRY1,SMART_PATH_CONNECT,Willis-Ryan1,2025-09-23,day,owner_notice_reports_energization,230,NYISO_OCT_OPERATIONS,energized_before_cutoff,no_component_specific_overlay,SPC_WRY1;NYISO_OCT_OPERATIONS,Energization milestone does not establish continuous availability or a one-to-one historical PERFORM branch correspondence.
SPC_HW2,SMART_PATH_CONNECT,Haverstock-Willis2,2025-10-02,day,owner_notice_reports_energization,345,NYISO_OCT_OPERATIONS,energized_before_cutoff,no_component_specific_overlay,SPC_HW2;NYISO_OCT_OPERATIONS,Energization milestone does not establish continuous availability or a one-to-one historical PERFORM branch correspondence.
SPC_MH2,SMART_PATH_CONNECT,Moses-Haverstock2,2025-10-08,day,owner_notice_reports_energization,230,NYISO_OCT_OPERATIONS,energized_before_cutoff,no_component_specific_overlay,SPC_MH2;NYISO_OCT_OPERATIONS,Energization milestone does not establish continuous availability or a one-to-one historical PERFORM branch correspondence.
SPC_LINE11,SMART_PATH_CONNECT,Austin Road-Edic Line11,2025-10-08,day,owner_notice_reports_energization,345,same_owner_notice,energized_before_cutoff,no_component_specific_overlay,SPC_LINE11,Energization milestone does not establish continuous availability or a one-to-one historical PERFORM branch correspondence.
SPC_HA2,SMART_PATH_CONNECT,Haverstock-Adirondack2,2025-10-13,day,owner_notice_reports_energization,345,NYISO_20251107_TTC;NYISO_2025_GOLD_BOOK,energized_before_cutoff,no_component_specific_overlay,SPC_HA2;NYISO_20251107_TTC;NYISO_2025_GOLD_BOOK,Energization milestone does not establish continuous availability or a one-to-one historical PERFORM branch correspondence.
SPC_W1,SMART_PATH_CONNECT,Willis1,2025-10-22,day,owner_notice_reports_energization,230,NYISO_OCT_OPERATIONS,energized_before_cutoff,no_component_specific_overlay,SPC_W1;NYISO_OCT_OPERATIONS,Energization milestone does not establish continuous availability or a one-to-one historical PERFORM branch correspondence.
SPC_WPN1,SMART_PATH_CONNECT,Willis-Patnode1,2025-10-24,day,owner_notice_reports_energization,230,NYISO_OCT_OPERATIONS,energized_before_cutoff,no_component_specific_overlay,SPC_WPN1;NYISO_OCT_OPERATIONS,Energization milestone does not establish continuous availability or a one-to-one historical PERFORM branch correspondence.
SPC_MH3,SMART_PATH_CONNECT,Moses-Haverstock3,2025-10-26,day,owner_notice_reports_energization,230,NYISO_OCT_OPERATIONS,energized_before_cutoff,no_component_specific_overlay,SPC_MH3;NYISO_OCT_OPERATIONS,Energization milestone does not establish continuous availability or a one-to-one historical PERFORM branch correspondence.
