assumption_id,category,required_common_policy,s12_implementation,s13_implementation,status,evidence
scale_convention,operating_scale,"Scenario gamma times public 2019 patterns; fixed NPCC-NY total 10902.2197987 MW",Same aggregate targets,Same aggregate targets,defined,"Similarity-scaled reconstruction, not raw 2019 MW."
active_load,load,"Exact scaled P-58C A-K totals",Zone-labeled retained components,NPCC load-allocation buses,defined,"Model-specific bus allocation is allowed only after exact zonal totals match."
reactive_load,load,"Scaled active load times the S12/PERFORM retention-load zonal Q/P",Ward-retained zone load components,NPCC allocation buses,defined,"A common aggregate Q target is required in every zone."
active_generation_prior,generation,"Fuel-mix-derived zonal totals without interface closure",S12 unit prior within zone,PERFORM-derived NPCC GSK within zone,blocked,"Fifteen scenario-zone rows are not representable: Zone H has no S13 generator and selected A/B/C/E priors exceed current mapped capability."
reactive_generation,generation,"Voltage-controlled Q within source-backed limits; not historical dispatch",Source-retained controls,Inherited S7 controls,blocked,"A common representable voltage-control subset is not yet defined."
external_schedule_aggregation,interchange,"Nine P-32 groups aggregated to HQ, ONTARIO, ISONE, and PJM",Nine boundary-generator groups,Ten physical NPCC tie rows,defined,"Individual NPX/HTP/Neptune/VFT paths are regional-only in S13."
full_npcc_tie_control,interchange,"Bounded AC tie-flow targets with external-area redispatch",Not applicable to the boundary oracle,Controller not implemented,pending_fail_closed,"S12 boundary injections must never be copied into S13."
loss_balance,active_balance,"Identical documented distributed participation rule",Pending,Pending,pending_fail_closed,"Reference-generator pickup is not a common dispatch prior."
transformer_par_controls,voltage_control,"Fixed snapshot values unless a bounded uncertainty variable is documented",Source snapshot,Inherited NPCC snapshot,diagnostic_only,"PERFORM provides no usable historical automatic tap/PAR schedule."
common_voltage_control,voltage_control,"Same source-backed assumptions where representable",Source-retained controls,Inherited S7 controls,pending_fail_closed,"Exact device equality is not currently available."
interface_flow_closure,prohibited_action,"Prohibited",Disabled,Disabled,pass,"Public internal-interface targets cannot inform this forward comparison."
s12_boundary_injections_on_s13,prohibited_action,"Prohibited",Oracle-only,Not added,pass,"The retained external NPCC network would otherwise be double counted."
inherited_branch_rxb,frozen_admittance,"No residual or calibration fit",Not applicable,Frozen to S7,pass,"All inherited R/X/B must remain exact."
added_physical_branch_rxb,frozen_admittance,"Exact source PERFORM values",Exact retained circuits,Exact appended circuits,pass,"No residual fitting is permitted in S13.1."
